"id","session","time","panas_pos","panas_neg","ios"
"12001",1,0,35,16,1
"12001",1,1,38,12,1
"12001",2,0,30,11,1
"12001",2,1,43,10,2
"12001",3,0,27,10,1
"12001",3,1,37,10,2
"12001",4,0,28,16,1
"12001",4,1,35,10,2
"12001",5,0,35,10,2
"12001",5,1,44,10,2
"12001",6,0,33,10,1
"12001",6,1,41,10,3
"12001",7,0,26,10,1
"12001",7,1,41,10,2
"12002",1,0,33,16,1
"12002",1,1,32,12,3
"12002",2,0,29,11,2
"12002",2,1,33,10,3
"12002",3,0,26,12,2
"12002",3,1,31,10,3
"12002",4,0,25,11,2
"12002",4,1,19,12,2
"12002",5,0,18,11,2
"12002",5,1,29,10,3
"12002",6,0,23,10,2
"12002",6,1,30,10,3
"12003",1,0,40,24,1
"12003",1,1,46,19,5
"12003",2,0,33,23,4
"12003",2,1,40,12,6
"12003",3,0,42,15,6
"12003",3,1,48,10,7
"12003",4,0,47,18,7
"12003",4,1,50,15,7
"12003",5,0,47,19,6
"12003",5,1,50,13,7
"12003",6,0,49,16,7
"12003",6,1,49,11,7
"12004",1,0,29,27,1
"12004",1,1,36,18,2
"12004",2,0,40,26,2
"12004",2,1,38,20,4
"12004",3,0,29,21,4
"12004",3,1,39,15,5
"12004",4,0,36,22,5
"12004",4,1,30,23,6
"12004",5,0,21,20,4
"12004",5,1,40,15,5
"12004",6,0,27,22,4
"12004",6,1,38,14,6
"12004",7,0,32,15,6
"12004",7,1,34,10,6
"12005",1,0,26,18,1
"12005",1,1,30,10,3
"12005",2,0,22,15,2
"12005",2,1,30,12,3
"12005",3,0,23,12,3
"12005",3,1,29,10,3
"12005",4,0,22,11,3
"12005",4,1,34,10,3
"12005",5,0,19,10,3
"12005",5,1,39,10,4
"12005",6,0,28,10,3
"12005",6,1,39,10,4
"12005",7,0,31,11,5
"12005",7,1,40,10,5
"12006",1,0,24,23,1
"12006",1,1,34,15,2
"12006",2,0,26,21,3
"12006",2,1,39,15,4
"12006",3,0,27,23,4
"12006",3,1,40,14,6
"12006",4,0,18,21,5
"12006",4,1,29,19,5
"12006",5,0,26,19,5
"12006",5,1,41,13,6
"12006",6,0,23,15,5
"12006",6,1,39,12,6
"12006",7,0,29,18,6
"12006",7,1,41,11,7
"12007",1,0,41,16,2
"12007",1,1,37,10,7
"12007",2,0,38,10,5
"12007",2,1,40,10,7
"12007",3,0,35,11,6
"12007",3,1,38,10,7
"12007",4,0,36,12,7
"12007",4,1,38,12,7
"12007",5,0,36,14,7
"12007",5,1,35,10,7
"12007",6,0,36,12,7
"12007",6,1,39,12,7
"12007",7,0,38,10,7
"12007",7,1,38,13,7
"12008",1,0,31,10,1
"12008",1,1,41,10,3
"12008",2,0,34,10,2
"12008",2,1,40,10,2
"12008",3,0,41,13,3
"12008",3,1,47,10,3
"12008",4,0,36,10,3
"12008",4,1,39,10,3
"12008",5,0,19,12,3
"12008",5,1,22,11,3
"12008",6,0,38,10,4
"12008",6,1,49,10,4
"12008",7,0,34,10,4
"12008",7,1,44,10,4
"12010",1,0,22,12,1
"12010",1,1,30,10,2
"12010",2,0,29,15,2
"12010",2,1,27,17,2
"12010",3,0,25,15,2
"12010",3,1,32,10,3
"12010",4,0,24,11,3
"12010",4,1,29,10,3
"12010",5,0,24,11,3
"12010",5,1,21,13,3
"12010",6,0,15,10,3
"12010",6,1,30,10,3
"12010",7,0,24,10,3
"12010",7,1,26,10,3
"12011",1,0,41,12,1
"12011",1,1,42,10,4
"12011",2,0,38,13,4
"12011",2,1,NA,NA,NA
"12011",3,0,32,14,5
"12011",3,1,49,10,6
"12011",4,0,39,13,6
"12011",4,1,45,10,6
"12011",5,0,35,10,6
"12011",5,1,46,10,7
"12011",6,0,31,12,6
"12011",6,1,45,10,7
"12011",7,0,45,10,7
"12011",7,1,50,10,7
"12012",1,0,47,10,1
"12012",1,1,49,10,7
"12012",2,0,47,10,6
"12012",2,1,50,10,7
"12012",3,0,50,11,7
"12012",3,1,50,10,7
"12012",4,0,50,11,7
"12012",4,1,50,10,7
"12012",5,0,50,10,7
"12012",5,1,50,10,7
"12012",6,0,50,10,7
"12012",6,1,50,10,7
"12012",7,0,50,10,7
"12012",7,1,50,10,7
"12013",1,0,30,28,3
"12013",1,1,30,14,4
"12013",2,0,28,13,3
"12013",2,1,36,12,4
"12013",3,0,32,12,3
"12013",3,1,35,20,4
"12013",4,0,29,12,3
"12013",4,1,34,16,5
"12013",5,0,27,16,3
"12013",5,1,26,17,5
"12013",6,0,29,11,4
"12013",6,1,31,12,6
"12013",7,0,32,12,4
"12013",7,1,37,13,5
"12014",1,0,34,14,1
"12014",1,1,39,13,3
"12014",2,0,35,16,4
"12014",2,1,38,13,5
"12014",3,0,22,10,4
"12014",3,1,37,10,5
"12014",4,0,34,10,4
"12014",4,1,41,11,6
"12014",5,0,28,18,4
"12014",5,1,37,13,5
"12014",6,0,13,14,5
"12014",6,1,35,14,6
"12014",7,0,24,13,5
"12014",7,1,31,11,6
