"id","variable","n","mean","sd"
"12001","ios",7,1.143,0.378
"12001","panas_neg",7,11.857,2.854
"12001","panas_pos",7,30.571,3.78
"12001","session",7,4,2.16
"12003","ios",6,5.167,2.317
"12003","panas_neg",6,19.167,3.656
"12003","panas_pos",6,43,5.967
"12003","session",6,3.5,1.871
"12004","ios",7,3.714,1.704
"12004","panas_neg",7,21.857,3.976
"12004","panas_pos",7,30.571,6.188
"12004","session",7,4,2.16
"12005","ios",7,2.857,1.215
"12005","panas_neg",7,12.429,2.992
"12005","panas_pos",7,24.429,4.117
"12005","session",7,4,2.16
"12006","ios",7,4.143,1.676
"12006","panas_neg",7,20,2.887
"12006","panas_pos",7,24.714,3.546
"12006","session",7,4,2.16
"12007","ios",7,5.857,1.864
"12007","panas_neg",7,12.143,2.193
"12007","panas_pos",7,37.143,2.035
"12007","session",7,4,2.16
"12008","ios",7,2.857,1.069
"12008","panas_neg",7,10.714,1.254
"12008","panas_pos",7,33.286,7.064
"12008","session",7,4,2.16
"12010","ios",7,2.429,0.787
"12010","panas_neg",7,12,2.16
"12010","panas_pos",7,23.286,4.231
"12010","session",7,4,2.16
"12011","ios",7,5,2
"12011","panas_neg",7,12,1.528
"12011","panas_pos",7,37.286,4.99
"12011","session",7,4,2.16
"12012","ios",7,6,2.236
"12012","panas_neg",7,10.286,0.488
"12012","panas_pos",7,49.143,1.464
"12012","session",7,4,2.16
"12013","ios",7,3.286,0.488
"12013","panas_neg",7,14.857,6.012
"12013","panas_pos",7,29.571,1.902
"12013","session",7,4,2.16
"12014","ios",7,3.857,1.345
"12014","panas_neg",7,13.571,2.936
"12014","panas_pos",7,27.143,8.092
"12014","session",7,4,2.16
